,en,ru,pt-br,es-es,de,fr-fr,it,pl,zh-cn,jp,ko,,NOTES – use \n for newline,max length
enemy_apotheosis_cat_mocreeps_louis_gold,Golden Louis,Golden Louis,,,,,,,黄金路易斯,,,,DO NOT TRANSLATE,
enemy_apotheosis_cat_mocreeps_spoopy,Spoopy,Spoopy,,,,,,,斯波比,,,,DO NOT TRANSLATE,
enemy_apotheosis_cat_mocreeps_spoopy_gold,Golden Spoopy,Golden Spoopy,,,,,,,黄金斯波比,,,,DO NOT TRANSLATE,
enemy_apotheosis_cat_mocreeps_herbet,Herbert,Herbert,,,,,,,赫伯特,,,,DO NOT TRANSLATE,
enemy_apotheosis_ccc_bat_psychic,Psyykkinenlepakko,Psyykkinenlepakko,,,,,,,精神蝙蝠,,,,DO NOT TRANSLATE,
enemy_apotheosis_ceiling_fungus,Kattosieni,Kattosieni,,,,,,,倒吊真菌,,,,DO NOT TRANSLATE,
enemy_apotheosis_ceiling_fungus_minion,Pieni räjähtävä sieni,Pieni räjähtävä sieni,,,,,,,小型爆炸真菌,,,,DO NOT TRANSLATE,
enemy_apotheosis_devourer_ghost,Nälkäinenaave,Nälkäinenaave,,,,,,,吞噬鬼魂,,,,DO NOT TRANSLATE,
enemy_apotheosis_devourer_ghost_minion,Syömisen kirous,Syömisen kirous,,,,,,,吞噬咒体,,,,DO NOT TRANSLATE,
enemy_apotheosis_devourer_magic,Taikainen syöjä,Taikainen syöjä,,,,,,,魔法吞噬者,,,,DO NOT TRANSLATE,
enemy_apotheosis_drone_mini,Pieni Lennokki,Pieni Lennokki,,,,,,,小型无人机,,,,DO NOT TRANSLATE,
enemy_apotheosis_drone_status_ailment,Parannuskeinolennokki,Parannuskeinolennokki,,,,,,,状态支援无人机,,,,DO NOT TRANSLATE,
enemy_apotheosis_enchanted_duck,Lumottu ankka,Lumottu ankka,,,,,,,魔力鸭子,,,,DO NOT TRANSLATE,
enemy_apotheosis_esoteric_being,Esoteerinenolento,Esoteerinenolento,,,,,,,神秘的存在,,,,DO NOT TRANSLATE,
enemy_apotheosis_fairy,Keiju,Keiju,,,,,,,精灵,,,,DO NOT TRANSLATE,
enemy_apotheosis_fairy_big,Jättikeiju,Jättikeiju,,,,,,,大精灵,,,,DO NOT TRANSLATE,
enemy_apotheosis_fairy_big_discord,Jättiristiriitakeiju,Jättiristiriitakeiju,,,,,,,失谐大精灵,,,,DO NOT TRANSLATE,
enemy_apotheosis_fairy_esoteric,Esoteerinenkeiju,Esoteerinenkeiju,,,,,,,神秘精灵,,,,DO NOT TRANSLATE,
enemy_apotheosis_fairy_giant,Kolossaalinenkeiju,Kolossaalinenkeiju,,,,,,,巨大精灵,,,,DO NOT TRANSLATE,
enemy_apotheosis_fish_red,Punainenkala,Punainenkala,,,,,,,朱红鱼,,,,DO NOT TRANSLATE,
enemy_apotheosis_forest_monolith,Monoliitti,Monoliitti,,,,,,,一块巨石,,,,DO NOT TRANSLATE,
enemy_apotheosis_forsaken_eye,Hylättysilmä,Hylättysilmä,,,,,,,遗忘之眼,,,,DO NOT TRANSLATE,
enemy_apotheosis_fungus_smoking_creep,Savuavasieni,Savuavasieni,,,,,,,冒烟真菌,,,,DO NOT TRANSLATE,
enemy_apotheosis_gazer_cold_apotheosis,Jäänkatse,Jäänkatse,,,,,,,极寒凝视者,,,,DO NOT TRANSLATE,
enemy_apotheosis_gazer_greater,Suur-Helvetinkatse,Suur-Helvetinkatse,,,,,,,大型地狱凝视者,,,,DO NOT TRANSLATE,
enemy_apotheosis_gazer_greater_cold,Suur-Jäänkatse,Suur-Jäänkatse,,,,,,,大型极寒凝视者,,,,DO NOT TRANSLATE,
enemy_apotheosis_gazer_greater_sky,Suur-Taivaankatse,Suur-Taivaankatse,,,,,,,大型天空凝视者,,,,DO NOT TRANSLATE,
enemy_apotheosis_gazer_MVP,Jumalallinenjäänkatse,Jumalallinenjäänkatse,,,,,,,神圣极寒凝视者,,,,DO NOT TRANSLATE,
enemy_apotheosis_gazer_parasitic,Parasiittinenkatse,Parasiittinenkatse,,,,,,,寄生凝视者,,,,DO NOT TRANSLATE,
enemy_apotheosis_gazer_robot,Aluebotti,Aluebotti,,,,,,,领域机器,,,,DO NOT TRANSLATE,
enemy_apotheosis_ghost_bow,Haamujousi,Haamujousi,,,,,,,幽灵弓,,,,DO NOT TRANSLATE,
enemy_apotheosis_giant_centipede,Nuori Tuhatjalkainen,Nuori Tuhatjalkainen,,,,,,,巨型蜈蚣,,,,DO NOT TRANSLATE,
enemy_apotheosis_goo_slug,Liimanetana,Liimanetana,,,,,,,粘胶蛞蝓,,,,DO NOT TRANSLATE,
enemy_apotheosis_hideous_mass,Hirvittävämassa,Hirvittävämassa,,,,,,,狰狞乱肢,,,,DO NOT TRANSLATE,
enemy_apotheosis_hideous_mass_red,Hirvittäväliha,Hirvittäväliha,,,,,,,狰狞肉团,,,,DO NOT TRANSLATE,
enemy_apotheosis_hiisi_chef_hell,Hornakokkihiisi,Hornakokkihiisi,,,,,,,地狱席西厨师,,,,DO NOT TRANSLATE,
enemy_apotheosis_hiisi_thief,Varashiisi,Varashiisi,,,,,,,席西窃贼,,,,DO NOT TRANSLATE,
enemy_apotheosis_hisii_engineer,Insinöörihiisi,Insinöörihiisi,,,,,,,席西工程师,,,,DO NOT TRANSLATE,
enemy_apotheosis_hisii_giga_bomb,Psykopaattihiisi,Psykopaattihiisi,,,,,,,席西狂人,,,,DO NOT TRANSLATE,
enemy_apotheosis_hisii_hobo,Koditonhiisi,Koditonhiisi,,,,,,,席西乞丐,,,,DO NOT TRANSLATE,
enemy_apotheosis_hisii_hobo_rich,Rikashiisi,Rikashiisi,,,,,,,席西富人,,,,DO NOT TRANSLATE,
enemy_apotheosis_hisii_clown,Klovni,Klovni,,,,,,,席西小丑,,,,DO NOT TRANSLATE,
enemy_apotheosis_hisii_minecart,Kaivoskärryhaulikkohiisi,Kaivoskärryhaulikkohiisi,,,,,,,乘矿车的席西猎手,,,,DO NOT TRANSLATE,
enemy_apotheosis_hisii_minecart_tnt,Kaivoskärrytappurahaulikkohiisi,Kaivoskärrytappurahaulikkohiisi,,,,,,,乘矿车的席西矿工,,,,DO NOT TRANSLATE,
enemy_apotheosis_hisii_minecart_weak,Kaivoskärryhaulikkohiisi,Kaivoskärryhaulikkohiisi,,,,,,,乘矿车的虚弱席西矿工,,,,DO NOT TRANSLATE,
enemy_apotheosis_hisii_rocketshotgun,Rakettihaulikkohiisi,Rakettihaulikkohiisi,,,,,,,席西霰弹火箭手,,,,DO NOT TRANSLATE,
enemy_apotheosis_locust_swarm,Heinäsirkka,Heinäsirkka,,,,,,,蝗虫,,,,DO NOT TRANSLATE,
enemy_apotheosis_longleg_pillar,Kohoava Pilari-hämis,Kohoava Pilari-hämis,,,,,,,小蜘蛛之柱,,,,DO NOT TRANSLATE,
enemy_apotheosis_lukki_fire_miniboss,Nuori Tulihämähäkki,Nuori Tulihämähäkki,,,,,,,火焰蜘蛛幼虫,,,,DO NOT TRANSLATE,
enemy_apotheosis_lukki_fungus,Revitty sieni,Revitty sieni,,,,,,,带根真菌,,,,DO NOT TRANSLATE,
enemy_apotheosis_lukki_swarmling,Nopealukki,Nopealukki,,,,,,,迅捷蜘蛛,,,,DO NOT TRANSLATE,
enemy_apotheosis_lukki_tentacle_hungry,Kirottuolento,Kirottuolento,,,,,,,诅咒的存在,,,,DO NOT TRANSLATE,
enemy_apotheosis_mimic_explosive_box,Räjähdysherkkämatkija,Räjähdysherkkämatkija,,,,,,,炸药箱拟态怪,,,,DO NOT TRANSLATE,
enemy_apotheosis_mimic_perk_twwe,Paskiainen,Paskiainen,,,,,,,天赋拟态怪,,,,DO NOT TRANSLATE,
enemy_apotheosis_miniboss_pit,Wandsin Arvostelija,Wandsin Arvostelija,,,,,,,魔杖品鉴者,,,,DO NOT TRANSLATE,
enemy_apotheosis_mudman_friendly,Mutamies,Mutamies,,,,,,,突变体,,,,DO NOT TRANSLATE,
enemy_apotheosis_musical_being,Kuulumaton,Kuulumaton,,,,,,,希音,,,,DO NOT TRANSLATE,
enemy_apotheosis_musical_being_weak,Hiljainen,Hiljainen,,,,,,,寂音,,,,DO NOT TRANSLATE,
enemy_apotheosis_phantom_c_apotheosis,Pakkomielteinenkalma,Pakkomielteinenkalma,,,,,,,痴迷幻影,,,,DO NOT TRANSLATE,
enemy_apotheosis_poisonmushroom,Myrkyllinensieni,Myrkyllinensieni,,,,,,,毒蘑菇,,,,DO NOT TRANSLATE,
enemy_apotheosis_poring,Hyytelö,Hyytelö,,,,,,,凝胶,,,,DO NOT TRANSLATE,
enemy_apotheosis_poring_desert,Aavikkohyytelö,Aavikkohyytelö,,,,,,,沙漠凝胶,,,,DO NOT TRANSLATE,
enemy_apotheosis_poring_devil,Epäpyhähyytelö,Epäpyhähyytelö,,,,,,,邪恶凝胶,,,,DO NOT TRANSLATE,
enemy_apotheosis_poring_holy,Jumalallinenhyytelö,Jumalallinenhyytelö,,,,,,,神圣凝胶,,,,DO NOT TRANSLATE,
enemy_apotheosis_poring_holy_arch,Korkeajumalallinenhyytelö,Korkeajumalallinenhyytelö,,,,,,,大神圣凝胶,,,,DO NOT TRANSLATE,
enemy_apotheosis_poring_lukki,Lukkihyytelö,Lukkihyytelö,,,,,,,蜘蛛凝胶,,,,DO NOT TRANSLATE,
enemy_apotheosis_poring_magic,Lumottuhyytelö,Lumottuhyytelö,,,,,,,魔法凝胶,,,,DO NOT TRANSLATE,
enemy_apotheosis_poring_swamp,Suohyytelö,Suohyytelö,,,,,,,沼泽凝胶,,,,DO NOT TRANSLATE,
enemy_apotheosis_rat_birthday,Juhlarotta,Juhlarotta,,,,,,,生日派对鼠,,,,DO NOT TRANSLATE,
enemy_apotheosis_seeker,Etsijä,Etsijä,,,,,,,探索者,,,,DO NOT TRANSLATE,
enemy_apotheosis_sentry,Vartiomies,Vartiomies,,,,,,,哨兵,,,,DO NOT TRANSLATE,
enemy_apotheosis_shaman_greater_apotheosis,Suur-Märkiäinen,Suur-Märkiäinen,,,,,,,大沼泽萨满,,,,DO NOT TRANSLATE,
enemy_apotheosis_slime_leaker,Vuotavajaska,Vuotavajaska,,,,,,,渗浆粘液怪,,,,DO NOT TRANSLATE,
enemy_apotheosis_slime_leaker_weak,Heikko Vuotavajaska,Heikko Vuotavajaska,,,,,,,虚弱渗浆粘液怪,,,,DO NOT TRANSLATE,
enemy_apotheosis_slime_teleporter,Säröilevä limanuljaska,Säröilevä limanuljaska,,,,,,,折跃粘液怪,,,,DO NOT TRANSLATE,
enemy_apotheosis_spirit_healing,Parantava-Aave,Parantava-Aave,,,,,,,治愈幽灵,,,,DO NOT TRANSLATE,
enemy_apotheosis_star_child,Tähtilapsi,Tähtilapsi,,,,,,,星之子,,,,DO NOT TRANSLATE,
enemy_apotheosis_sunken_creature,Sukelluskello,Sukelluskello,,,,,,,潜钟,,,,DO NOT TRANSLATE,
enemy_apotheosis_tank_flame_apotheosis,Sytytystankki,Sytytystankki,,,,,,,喷火坦克,,,,DO NOT TRANSLATE,
enemy_apotheosis_tentacler_big,Isoturso,Isoturso,,,,,,,大触手怪,,,,DO NOT TRANSLATE,
enemy_apotheosis_tesla_turret,Teslatötterö,Teslatötterö,,,,,,,特斯拉电塔,,,,DO NOT TRANSLATE,
enemy_apotheosis_tree_tall,Tall Tree,Tall Tree,,,,,,,高大的树,,,,DO NOT TRANSLATE,
enemy_apotheosis_triangle_gem,Kolmionmuotoinenkristalli,Kolmionmuotoinenkristalli,,,,,,,三角水晶,,,,DO NOT TRANSLATE,
enemy_apotheosis_watermage,Vesimagi,Vesimagi,,,,,,,水魔,,,,DO NOT TRANSLATE,
enemy_apotheosis_watermage_greater,Suur-Vesimagi,Suur-Vesimagi,,,,,,,沝魔,,,,DO NOT TRANSLATE,
enemy_apotheosis_watermage_toxic,Myrkytetty Vesimagi,Myrkytetty Vesimagi,,,,,,,剧毒水魔,,,,DO NOT TRANSLATE,
enemy_apotheosis_watermage_toxic_greater,Myrkytetty Suur-Vesimagi,Myrkytetty Suur-Vesimagi,,,,,,,剧毒沝魔,,,,DO NOT TRANSLATE,
enemy_apotheosis_waterskull,Vesiö,Vesiö,,,,,,,清水头颅,,,,DO NOT TRANSLATE,
enemy_apotheosis_whisp,Palavakeiju,Palavakeiju,,,,,,,鬼火,,,,DO NOT TRANSLATE,
enemy_apotheosis_whisp_big,Jättipalavakeiju,Jättipalavakeiju,,,,,,,大鬼火,,,,DO NOT TRANSLATE,
enemy_apotheosis_whisp_giga,Kolossaalinenpalavakeiju,Kolossaalinenpalavakeiju,,,,,,,巨大鬼火,,,,DO NOT TRANSLATE,
enemy_apotheosis_wizard_ambrosia,Kuolemattomuudenmestari,Kuolemattomuudenmestari,,,,,,,不朽法师,,,,DO NOT TRANSLATE,
enemy_apotheosis_wizard_copeseethmald,Uistelunmestari,Uistelunmestari,,,,,,,引战法师,,,,DO NOT TRANSLATE,
enemy_apotheosis_wizard_corrupt_ambrosia,Korruptoitunut Kuolemattomuudenmestari,Korruptoitunut Kuolemattomuudenmestari,,,,,,,腐化不朽法师,,,,DO NOT TRANSLATE,
enemy_apotheosis_wizard_corrupt_hearty,Korruptoitunut Haavoittajamestari,Korruptoitunut Haavoittajamestari,,,,,,,腐化穿心法师,,,,DO NOT TRANSLATE,
enemy_apotheosis_wizard_corrupt_manaeater,Korruptoitunut Mananmestari,Korruptoitunut Mananmestari,,,,,,,腐化噬魔法师,,,,DO NOT TRANSLATE,
